weight_grams,diameter_cm,sweetness_score,color_score,fruit_type
152.3,7.08,7.7,7.3,apple
129.4,3.45,8.3,8.4,banana
125.1,3.54,8.0,8.2,banana
136.1,8.11,5.8,5.9,apple
111.4,3.66,7.8,6.7,banana
123.7,3.59,6.2,9.6,banana
119.8,3.35,8.3,9.3,banana
174.2,8.17,4.0,5.7,orange
149.1,9.13,3.5,4.7,orange
171.6,7.98,5.3,9.1,apple
144.3,8.11,5.9,6.3,orange
182.4,9.01,5.9,6.6,orange
138.9,7.19,5.9,6.7,apple
168.9,7.71,3.8,4.0,orange
158.0,7.6,6.1,5.4,apple
188.4,8.1,5.5,6.2,orange
138.2,7.74,5.6,8.1,apple
128.2,3.68,8.1,9.5,banana
127.1,8.37,6.6,7.4,apple
163.9,7.61,5.9,6.3,orange
167.6,7.9,5.9,6.7,orange
111.2,3.27,6.9,8.1,banana
192.6,8.33,4.7,5.5,orange
86.5,3.45,7.9,6.7,banana
163.0,7.56,5.1,5.1,orange
139.2,7.93,3.7,5.2,orange
144.1,8.41,6.2,6.3,orange
108.1,3.23,9.0,8.2,banana
166.4,7.55,4.8,6.3,orange
140.6,7.36,4.9,6.2,apple
145.8,7.6,7.4,5.1,apple
197.1,7.62,4.0,5.8,orange
149.8,8.04,7.3,5.9,apple
132.3,3.39,8.7,8.3,banana
176.2,8.37,4.5,4.5,orange
157.9,7.74,5.1,6.2,orange
128.7,3.21,7.3,7.5,banana
124.2,3.51,6.9,7.5,banana
207.7,8.3,4.8,6.6,orange
176.5,6.52,5.5,6.9,apple
161.6,7.67,4.1,3.7,orange
121.9,3.67,7.5,8.4,banana
174.7,7.68,5.6,5.9,orange
110.0,3.12,7.8,9.2,banana
131.9,3.77,8.3,7.6,banana
118.7,3.52,7.5,7.7,banana
129.2,3.82,7.6,9.0,banana
124.4,6.88,6.7,5.7,apple
164.2,8.18,5.0,4.5,orange
150.0,8.21,6.3,6.9,apple
160.2,9.08,3.6,6.3,orange
146.8,7.43,6.9,5.6,apple
175.4,7.07,4.3,7.4,apple
145.5,6.96,5.5,6.3,apple
110.0,3.7,8.1,7.9,banana
184.6,8.08,6.3,5.9,orange
158.5,7.23,7.3,5.3,apple
151.6,7.45,6.5,7.1,apple
180.4,7.57,5.8,5.6,apple
112.3,3.59,5.6,6.4,banana
125.2,3.41,6.6,6.3,banana
167.4,8.64,4.9,6.6,orange
134.2,7.79,6.3,7.6,apple
128.2,7.89,6.0,6.9,apple
133.7,3.67,8.2,8.6,banana
129.8,3.34,6.6,8.8,banana
