study_hours,attendance_percentage,previous_exam_score,sleep_hours,passed
8.1,87.5,95.7,7.5,1
9.0,87.4,42.7,5.5,1
3.2,45.5,34.7,8.6,0
1.1,69.7,81.9,8.9,0
2.3,43.5,70.2,8.7,0
4.3,73.0,88.9,6.4,1
8.2,66.5,39.8,8.3,1
8.6,93.3,85.7,8.2,1
0.1,61.1,44.1,5.6,0
5.1,47.0,41.5,8.1,0
4.2,48.6,41.5,4.2,0
2.2,85.7,87.0,7.0,0
1.2,77.1,76.6,5.2,0
3.4,46.1,66.6,4.6,0
9.4,45.0,55.1,4.4,1
3.2,82.1,91.4,7.5,0
5.2,44.4,57.5,5.7,0
7.0,89.3,87.2,7.6,1
3.6,82.4,60.7,4.3,0
9.7,44.9,56.4,5.6,1
9.6,45.1,62.4,6.7,1
2.5,99.2,51.1,8.0,1
5.0,62.5,82.3,5.6,1
3.0,62.2,65.2,7.1,0
2.8,88.8,46.3,8.4,0
0.4,96.8,93.0,7.1,0
6.1,99.2,56.9,5.2,1
5.0,85.2,68.0,4.1,0
0.5,62.6,93.5,8.4,0
2.8,45.0,73.7,4.1,0
9.1,86.6,38.2,8.4,1
2.4,73.5,95.8,6.6,1
1.4,65.5,73.9,8.7,0
4.9,94.4,53.4,8.0,1
9.9,46.7,39.7,9.0,1
2.4,69.6,85.6,5.8,1
6.7,40.7,73.4,7.8,1
7.6,68.1,67.3,6.0,1
2.4,43.4,92.6,6.4,0
7.3,47.1,85.2,7.1,1
3.7,47.1,40.6,8.4,0
6.3,79.0,51.8,8.9,1
6.3,84.8,47.4,7.8,1
5.4,75.0,82.1,6.1,1
0.9,97.7,32.3,6.1,0
8.4,62.5,69.9,7.7,1
3.2,57.1,83.4,5.2,0
1.9,92.1,91.4,4.6,1
0.4,53.4,53.9,5.8,0
5.9,97.8,87.5,5.4,1
6.8,40.7,37.7,5.5,0
0.2,98.2,89.3,5.2,0
5.1,42.6,38.9,4.2,0
2.3,93.5,57.8,4.1,0
6.5,71.7,85.8,8.9,1
1.7,99.6,40.5,6.1,0
6.9,44.4,46.0,5.9,1
3.9,73.2,80.6,7.4,0
9.4,98.2,80.4,5.1,1
1.4,71.4,74.9,8.7,0
3.4,77.8,78.6,7.9,0
1.1,81.7,68.0,4.4,1
9.2,67.3,47.6,6.1,1
8.8,77.7,54.2,8.4,1
2.6,75.1,42.7,8.7,0
6.6,94.1,93.6,6.3,1
8.2,42.7,70.8,7.1,1
5.6,56.9,58.1,4.8,0
5.3,97.0,62.3,9.0,1
2.4,93.4,96.3,5.2,1
0.9,67.3,40.7,8.7,0
9.0,77.2,71.0,7.2,1
9.0,56.6,65.4,7.0,1
6.3,51.3,72.8,6.6,1
3.4,67.8,31.3,5.2,0
3.5,61.2,91.0,4.9,0
7.3,75.0,95.2,5.1,1
9.0,44.7,69.6,4.9,0
8.9,98.5,78.8,7.9,1
7.8,99.2,94.6,5.8,1
6.4,81.9,79.5,4.3,1
0.8,72.2,40.7,8.8,0
1.6,58.6,70.3,8.4,0
9.0,88.8,72.5,8.6,1
6.1,81.1,59.7,9.0,1
0.1,49.8,81.6,4.9,0
1.0,94.7,95.4,6.0,0
6.6,89.4,94.8,7.8,1
0.1,97.0,61.6,7.5,1
1.6,83.5,37.9,4.8,0
5.5,76.8,98.9,8.1,1
6.9,65.1,88.7,5.1,1
6.5,96.0,38.7,5.1,1
2.2,92.0,94.5,6.7,1
7.1,42.7,90.9,7.0,1
2.4,41.6,66.3,6.9,0
3.3,62.6,71.4,4.5,0
7.5,88.6,57.9,8.4,1
6.5,99.2,33.8,5.3,0
8.5,49.0,53.5,4.6,0
6.6,75.6,86.2,8.4,1
5.7,62.9,30.3,8.8,0
0.9,98.2,53.3,8.3,0
3.7,90.5,57.9,8.0,0
2.7,90.3,67.6,7.3,0
2.4,68.1,94.4,6.8,0
9.7,64.9,54.2,4.4,1
3.9,56.4,54.3,6.0,0
8.9,43.4,81.6,5.9,1
6.3,91.9,61.7,5.3,1
7.9,88.8,45.7,7.6,1
5.0,100.0,61.7,6.5,1
5.8,99.8,39.9,4.4,0
4.9,73.3,42.3,5.1,1
2.0,86.1,64.9,7.4,0
7.2,96.7,59.3,4.4,0
2.8,91.0,94.0,8.3,1
0.2,54.8,55.4,6.5,0
6.5,67.0,70.6,6.4,1
1.8,47.7,74.3,7.0,0
9.4,97.2,30.9,8.1,1
9.5,76.4,76.4,5.7,1
9.1,53.7,42.5,7.4,1
3.7,80.3,97.3,6.8,1
0.2,77.1,40.4,5.3,0
9.3,61.5,59.0,8.4,1
4.3,46.8,36.0,8.0,0
9.7,80.3,99.8,7.3,1
9.6,71.2,65.2,8.3,1
8.5,86.3,71.7,8.3,1
2.9,71.2,34.7,7.5,0
3.9,91.1,82.5,8.2,1
8.5,73.1,44.7,7.5,1
3.2,73.7,92.9,7.4,1
1.7,92.6,44.4,7.1,0
5.6,64.2,43.3,7.8,0
9.4,48.0,32.6,4.8,0
7.0,41.7,63.0,8.4,1
5.7,85.3,69.5,8.4,1
1.0,77.2,34.6,4.1,0
6.2,82.2,84.3,8.1,1
9.9,52.8,61.7,4.6,1
1.4,48.2,66.7,5.7,0
5.2,40.9,60.9,7.7,0
8.8,61.0,58.1,4.8,1
7.4,75.4,69.2,8.1,1
7.0,63.5,40.9,8.2,0
7.0,66.2,42.7,6.5,1
3.6,94.2,90.3,4.0,1
2.9,60.9,96.2,5.4,1
8.1,70.8,56.1,7.1,1
8.1,87.0,49.0,8.9,1
8.7,63.8,75.1,7.2,1
9.1,77.3,58.6,5.3,1
5.1,91.7,31.8,7.2,1
5.0,97.0,40.9,6.7,1
8.0,48.8,80.1,7.9,1
6.5,95.6,76.1,4.5,1
7.0,69.5,31.9,7.8,0
8.0,55.5,45.5,6.7,0
8.9,67.5,46.2,8.8,0
3.4,98.8,77.0,5.7,1
3.8,69.6,31.4,7.2,0
0.9,59.7,37.3,8.7,0
5.8,78.0,86.0,4.5,1
0.4,54.4,42.5,8.7,0
4.7,44.6,75.7,7.4,0
5.4,47.7,46.7,4.3,0
2.9,47.7,37.0,5.5,0
5.9,49.1,47.0,7.5,0
0.3,48.3,80.6,4.3,0
0.4,78.5,89.9,6.9,1
8.2,50.9,88.1,5.7,1
3.6,60.7,57.8,7.1,0
1.3,93.8,76.8,4.2,1
5.2,68.4,44.3,8.4,1
7.7,80.1,50.5,8.9,1
2.2,50.3,92.7,8.8,0
6.2,51.5,30.9,7.7,0
0.9,42.5,36.0,4.7,0
